Comment,Label,Nothing
압도적으로 조회수 높은 이유1.팬이라면 당연히 주기적으로 볼 수밖에 없음2.팬 아니어도 앓이하러 오는 타팬 (은 나)3.다른 퀸덤 그룹에 비해 엄청난 해외 팬 수4.꼴등했다는 무대가 어느정돈지 보러 온 머글5.위 사람들이 한번 보면 계속 맴도는데 음원도 없음 노래는 이것뿐이라 계속 오게 됨6.존나 잘하잖아 이게 어떻게 꼴찌여 스벌7.수진-!??8. 모리를 촬랑촬랑촬랑촬랑,1,
난 어떤 것보다 박봄 표정이 진심으로 후배들이 이 노래 잘 살려줘서 고마워하고 대견해하는 얼굴이라 감동적이다. 진짜 저런 선배가 어딨어...아이들도 잘 살려서 멋지지만 봄이 표정이 인자해서 넘 좋았당 ㅎㅎ,1,
원곡자가 녹화해서 보여주고 싶다는 엄청난 극찬을 줬는데도 꼴찌이다... 음 확실히 100퍼 조작이지 ㅋㅋㅋ,0,
슈화 찰랑찰랑은 뻥뚫리게 청량한 목소리도 그렇지만 찰랑찰랑에서 뭔가 슈화 특유의 발음때문에 더 시너지 나는 것 같음 뭔가 챨란챨란 이런느낌,1,
나만 슈화 찰랑찰랑 약간 기계음 섞인 느낌 이거 소름 돋고 좋나? 아니면 말고 그나저나 현장투표 1위 오마이걸이랑 1표 차이 나고 조회 수도 이게 다 발랐는데 어떻게 6위가 나오지 기적의 계산인가 아무리 스페셜 게스트 영향이 있어도 이게 가능할 리가 없지 않음? 마마무가 1등인 거 인정하지만 아이들이 1등이 아닌 거는 인정 못해+ 굳이 제 댓에 와서 비난을 하시는지 댓삭하고 도망가실 거면 왜 태클을 거세요 뭐 눈에는 뭐만 보입니다 당신의 비루한 삶을 남에게 광고하지 마세요 무슨 권한으로 젤리 얼굴이 어떠느니 슈화 실력이 어떠느니 슈화 하루에 8시간씩 댄스 연습하던 사람입니다 남 비방할 시간에 한 번이라도 소연이처럼 열정적이어보고 또 한 번이라도 슈화처럼 무언가 연습을 해보세요 어디 한가해서 할 짓이 없으니 남 비난을 합니까 피드백이니 비판이니 되지도 않는 핑계 좀 그만 대시고요 그렇게 합리화하며 남 까내리시면 인생이 좀 빛나시나요? 본인이 위에 있는 거 같아요? 비판과 비난은 다른 겁니다,0,
진짜 역시 메인래퍼 6명 메인보컬 6명한국인 6명외국인 6명이다 ㄹㅇ 아이들은 전설임,1,
이날 소연이 생일이였음......... 소연이는 생일 곧인디 퀸덤 때 그지같은 6등이 자꾸 떠오른다고함,0,
근데 엠넷은... 조작을 하면 우리가 모를 거라고 생각하는 걸까? ㅋㅋㅋㅋ 조작을 안 하면 프로그램을 못 만드나,0,
전소연은 핸드마이크가 제일 잘어울리는듯,1,
왜 슈화 찰랑찰랑 좌표가 없는거죠? 여기만 수십번 돌려봐야 하는데 4:12 4:12 4:12 4:12 4:12 4:12 4:12 4:12,1,
퀸덤보면서 진짜 암넷이라고 느낀게 어떻게 그룹마다 위아래 뽑으라는게 말이되나 그것도 공개적으로 엿먹이는거지 뭐,0,
뭔가 2NE1 원곡은 뭔가 쩌렁쩌렁하게 볼륨이 커서 처음 이 무대 봤을때는 임펙트가 약한데? 했는데 볼수록 진짜 (여자)아이들 식으로 잘 해석한 무대같음 두버전 다 너무 좋아 민니 음색 너무좋고 우기의 묵직한 허스키보이스 너무 좋음ㅠㅠㅠ아이들ㅠㅠ사랑해 천재아이돌ㅠㅠㅠ,1,
"미연은 노래가 전체적으로 편안하게 해주고 소연은 경 천재같음 우기 귀엽게 생겨서 음색은 안 그런거 넘..,, 대박 민니 마지막 임팩트 개쩜 슈화 찰랑찰랑 살랑살랑 넘 귀엽고 목소리 쫙 뻗어나가는 거 최고다 수진..,,.,.,., 당신은 말 할 필요도 없음 알러뷰",1,
