Review,Label
최근에 본 영화 중 가장 재미있어요!!,1
다들 영화 전문가 되셨네.  난 괜찮았음.,1
다 좋은데 전투 중에 감상적인 장면은 최대한 짧게 가자 적군이 기다려주냐 흐름 확 깨버리잖아,1
괜찮아요 ^^ 평점은 별로라서 기대 안 했어요 ~~의외로 재밌게 봤어요,1
솔직히 볼만했음,1
이 정도면 볼만하지 이놈들아 ㅋㅋ,1
볼만함.,1
최고,1
네티즌 평점 이제 안 믿기로.  재밌었다.,1
이정현 엄마 연기 정말 잘하네요~~ 애들을 위해서 죽으려다가 애들을 위해서 필사적으로 살려고 하는 장면이 정말 감동적이었습니다. 애들도 연기 너무 잘하고요~~~ 액션이나 스토리 전개가  뭔가 흉내 낸 것 같은 느낌은 조금 들었지만 금세 잊고 몰입이 되었던 영화였습니다.,1
넘나 재밌었다. 폭염을 뚫고 극장 가서 봤는데 진짜 두 번 보고 싶었다. 살아있다 와 비교할 수가 없다 백만 배 재밌다.,1
아역들 연기가 좋았음~~,1
창현이랑 봐서 재밌고 좋았네요 흐흐 크라앙,1
민식이랑 봐서 좋았음,1
"시체들이 돌아다니고 가족이 죽고 그런 경험을 가진 군인이 민간인처럼 대처하는 모습이 이상했고, 긴박한 상황에 강동원은 순간순간 멍 때리며 상황을 확인하며 구경하는듯한 모습과 늦장 대응이 답답하다. 머리 회전이 늦어 보이는 강동원의 연기가 부족하게끔 보이는 감독의 센스가 좀 떨어진다. 하지만  전체적으로 발전한 한국 액션이었다고 생각됩니다... 액션은 액션답게 눈물은 짧고 강 열하게 마감되었어 면 ........... 하는 아쉬움이 남는다 부산행처럼 대작이 될 수 있었는데",1
"지옥 같은 환경에서도 희망을 꿈꾸는 사람들, 지옥 같은 환경을 더욱 지옥같이 만드는 인간들의 차이는 무엇일까...? 한계적 상황에서 인간 각자가 갖고 있는 &#39;선의&#39;와 &#39;악의&#39;는 드러난다는 주제가 좋았다!  지옥 같은 환경에서도 자식을 지키려는 엄마 역할의 이정현의 연기는 손색이 없고, 강동원의 연기 또한 나쁘지 않았다... 특히, 아역배우들의 연기가 너무 좋았다! 이레라는 아역배우가 기대된다!",1
평점이 별로라 기대 안 했는데 재미있게 봤어요^^,1
의외로 재밌게 봤어요,1
재미있던데..,1
한국적인 요소가 웃음을 준다. 걸 그 넘버원!,1
그냥 봤는데  재미있어 음  외국 좀비 영화보다   현실적  ...,1
부산행 보다 재미있었다.  결말도 좋았음.. 여자아이  아역 연기 정말 잘하네요.   강동원 너무 멋짐.,1
쓰레기 영화라고 하실래 기대 없이 봤는데.. 재밌던데.. ᄏ 따지려고 들지 말고 스토리에 불만 없이 조면 재밌는 영화 ㅋ,1
사람들이 재미없다길래  별 기대 안 하고 봤는데 저는 너무 재밌던데요 재미없다고 하는 사람들이 이해가 안 감,1
평이 안 좋아서    그랬는데 재미나게  보았다,1
재밌었어요~,1
어제 반도 보고 왔습니다 저는 다른 사람들과 달리 10점을 줍니다 연기 떠나서 지금 우리 대한민국을 보여주는 것 같다는 생각 들더군요 지금 우리나라 보세요 전국으로 코로나 19 확진자 여기저기서 집단감염 계속 나오죠 점점 심각해지겠다는 생각 들더군요 반도에서는 한국이 좀비 도시로 변했고 거기서도 살아있는 사람들끼리도 돈 때문에 죽이고  노름하고 반도는 현실과 많이 비슷해 보였어요 ㅠㅠ 사람들끼리  온갖 거짓말과  속고 속이는 세상으로 변해가는 것 같아요  거리두기 하라 경계하라 마스크 써라 모임 하지 말라  우리 지금 한국도 반도 영화와 다를 봐 없습니다 ~~ ㅠ 보고 나서 마음이 찡하더군요 ~~ 반도 보면 살아있는 사람을 잡아다 가둬놓고 몸에다 번호 쓰고 좀비 풀어주고 내기 노름 같은 거 하고  세상 사람들이 노름과 돈에 빠져서 본심을 잊어버리는 것 같았습니다 사랑교회와 광화문 집회뿐만 아니라 모든 사람들이 돈에 빠져 사는 것 같다는 생각 들었습니다,1
난 부산행 보다 재밌게 봤는데.. ?,1
부산행 보다 난 더 낫다고 생각 우리나라 좀비 영화 치곤 괜찮네 ㅋㅋ한 8점 살아있다를 먼저 봐서 그런가??그에 비하면 10점임!! 전체 평점이 낮아서 10점 줘야겠음,1
다운로드해서 봤어요 재밌는데 그에 비해 흥행을 못한 거 같지 않아요? 강동원 때문인가???;;;,1
자동차 추격신이나 스릴감이 좋네요,1
난 재밌게 봤어요  자동차 추격신 숨 쉴 틈 없이 빠른 액션이 조마조마 손에 땀을 쥐게 하던데요 부산행 보다 더 재밌게 본 거 같네요  한시도 눈을 떼지 못하고 봤어요,1
재미만 있구먼,1
휘몰아치는 신파에 눈 둘 데가 없으며 조심스레 흘러내리는 액션에 입만 벙긋할 뿐이다  결론:연상호는 뭐 하는가? 가 서 김용화한테 좀 배워라,1
재미있어요,1
자동차씬엔 신경을 많이 쓴듯한데... 좀비씬 비중이 너무 적어서 긴장감 자체가 많이 부족했던 거 같아 아쉽네요,1
잘 만든 영화입니다. 연기자들도 모두 호연이고요. 시대가 겹쳐져서 너무 무서웠어요. 모두 건강하게 이겨내고 보통의 시절이 돌아오기를 바라봅니다.,1
좀 부자연스러운 건 있지만 자동차 신이 볼만함,1
"안 좋은 평들이 하도 많아서 큰 기대는 없이 봤지만 카 체이싱에서의 부자연스러움.. 마무리 부분의 좀 늘어지는 템포 제외하면 꽤 좋았습니다. 각자 다른 취향은 존중할 수 있겠지만 1,2점 주면서 터무니없는 비방으로 악플 테러하는 건 좀 자제했으면.. 하는 작은 바람이 있습니다.",1
"오락물로는 8점, 부산행 후속편으로는 개연성이 없어 5점",1
기대 없이 봐서인지 괜찮았음ㅎ  그 좀비 풀고 싸우고 하는 장면은 너무 잔인했네요..,1
좀 끔찍하긴 했지만  부산행 보다 훨씬 재밌었는데,1
상징성을 가진 영화네요. 태극기 휘날리며의 이미지도 살짝 연상되었고요. 잘 봤습니다.,1
그냥 무난하게 시간 때우기로 잘 봤습니다~~,1
스릴은 넘치는데 반도라는 표현과 대한민국 폭만에 바이러스나 라라는 오명 설정은 최악이었고 마지막에 미국이 구해주는 장면도 최악임 미국 아니면 이 나라는 못사나ㅡㅡ,1
재밌기만 하네 ㅎ 잘 봤어요,1
와아 역시 반도...! 오우 완전 무대를 뒤집어 놓으셨다 진짜 최고의 영화! 안녕하세요 48세입니다...^^ 영화 시청을 해 보았는데 제 인생 영화는 아니지만 긴 생머리 강동원 씨가 너무 잘생겨서 인생 영화가 됐습니다 별이 10개?!?!,1
취향 존중을 부탁드립니다. ^^ 이런 유의 영화가 별로였던 분들의 취향을 존중하지만 나름 재미있게 감상한 1인입니다. ^^,1
기대 1도 안 하고 봐서 그런지 몰라도 개인적으로 잘 봤어요~,1
말이 필요 없음!! 최고!!,1
그래도 볼만한데...??,1
평점 보고 볼까 말까 고민했었는데 나름 재밌네요~~,1
재미만 있는 디 평점 없애라  자기들이 다 비평가냐 ㅋㅋㅋ,1
별점 테러를 위해 중국 사업자까지 동원하는 상도를 벗어난 범죄 행위는 이제 엄벌에 처해야 한다!!   이 작품은 적어도 7.5점 이상은 되어야 하는 완성도 영화입니다. 안 보신 분은 반드시 보세요! 있을 것 다 있는  잘 만든 액션 영화입니다. 별점과 소감에 더러운 거짓말 좀 하지 말고 십니다 ㅡㅡ.,1
재미있게 봤습니다.,1
나만 재밌게 봤나? 중간에 게임 장면은 좀 보기 힘들긴 했는데 액션이랑 스토리 같은 거 괜찮았는데 기대를 안 하고 봐서 더 재밌었던 듯,1
"그냥저냥 볼만함. 추격신 베리 굿, 나머지 인물 묘사, 스토리 플롯은 뷁",1
이 정도면 노력 점수라도 줘야 하는 거 아냐? 재미만 있구먼,1
조선판 좀비+매드맥스 짬뽕 잡탕 영화입니다.. 그리고 봉고트럭과 모하비는 좋은 차입니다.. 튼튼하더군요 처음 알았습니다.,1
허구도 이런 허구가 없습니다 ㅋㅋㅋㅋ  근데 매드맥스는 왜 흥행했을까요??  수작입니다. 한국 영화 발전 많이 했네요 정말^^ 잘 봤어요,1
나쁘지 않습니다. 시간 낭비도 아니고요.  가슴 쫄깃한 긴박감도 있고 꽤 탄탄합니다.   뭐 타이어가 절대 안 터진다 그 부분과 마지막 부분은 쪼금 개연성이 떨어진다 하더라도 뭐 그 정도야 영화가 되려면 당연히 필요한 부분이고.. 자식이 생겨서 그런지 이정현과 딸들 부분은 완전히 몰입되던데요... 그리고 서 대위는 어떻게 해서 그 부대에서 막강한 권력을 가지게 됐는지 좀 더 설명이 있었으면 했고요~ 목소리 톤이 매우 가볍게 연출된 것이 캐릭터 몰입하기 좋았습니다. 강동원 보고 멋있다고 느낀 건 이번이 처음이었네요.,1
발암 유발 영화,1
이 정도면 액션 신도 괜찮고 긴장감도 있고.. 볼만했는데.. 평점이 너무 낮네요.. 다들 수준이 얼마나 높다고 이렇게 깔아 뭉기는지 이해가 안가네요.. 그냥 평점 신경 쓰지 말고 한 번쯤은 볼만한 영화에요~~,1
아직 안 봤는데 평점 써진다,1
재밌게  봤어요,1
"오~ 영화 잘 만들었네요. 모성애가 시작과 끝에서 너무 감동적으로 잘 표현되었고, 스토리도 좋았네요.^^",1
아주 잠깐 지루하긴 했지만 자동차 운전 장면도 긴장감 넘치고 전체적으로 재밌고 사람의 추악한 면이 잘 보였던 것 같아요. 아쉬운 점이 있다면 16~18살 정도로 보이는 딸이 있는 엄마가 너무 젊다는 것..? 그리고 조금 뻔한.. 그래도 너무 재미없을 정도는 아닌데 왜 이렇게 별점 테러를 당했는지 궁금하네요,1
"영화 보는 내내 긴장되고,, 액션이 조금 만화 같은 느낌도 있으나 (좀비 영화 특성상 액션이 현실적일 수가 없음) 이 정도 잘빠진 액션신이 쉴 새 없이 나오는 건 한국 영화에서 보기 힘듦. 특히 카 레이싱 액션신은 할리우드 영화 안 부러움. 배경도 어둡고 폐허가 된 한반도를 잘 표현함. 연기자들 연기도 좋음. (이정현을 다시 보게 되었고 맹랑한 큰딸의 연기가 좋음) 군인들이 미치광이가 되었고 사람으로 놀이하는 건 좀 너무 잔인하고 이해하기 힘듦 (하지만 긴장감은 최고,,) 하지만 전체적으로 몰입도 높은 영화. 숨쉬기가 힘들 정도로 긴장되는 신이 많음.  영화를 영화적으로만 보는 외국에서 더 많이 볼 수도 있겠다 싶음. 평점 테러하러 오신 분들 말 믿지 말고 꼭 보길,, 한국 영화 중에 이만큼 잘빠진 액션 영화 보기 정말 보기 힘듭니다.",1
자본은 좀비보다 생존력이 강하다.  좀비는 욕망에 미친 그들에게 건너 갔다. 거대 자본도 그렇게 넘어간다.,1
영화 잘 봤습니다 저는 만족해요^^~ 끝장면이 기억에 남네요,1
난 왜 재밌죠,1
솔직 리뷰 하도 악평이 많아서 기대 없이 봤는데 그럭저럭 괜찮았음 좀 지루한 부분도 몇 있었지만 평점 테러 수준도 아니었고 배우들 연기도  몇 명 빼고 괜찮았음,1
