Review,Label
진정한 사랑입니다.,1
볼만한데..,1
나름 시간 보내기용으로는 최고,1
작가는 무엇을 해야 하는가,1
완전 재미있어요. 또 보고 싶어요,1
영화 속 또 다른 연기에 농락당하다.,1
호빠 하는 친구 생각나네... 힘들겠다... ᄏᄏ,1
평점 때문에 기대 안 하고 봤더니 나름 괜찮았던 영화. 다음 편도 보고 싶다.,1
영원한 남자들의 로망 메텔,1
지금도 다시 구해서 보고 싶은 영화.. 어디서 못 구하나.,1
훈훈한 영화였지^^ 다시 봐도 좋은 영화,1
너무 재미있었습니다. 실화라고 하니 더욱 감동.. 강추합니다^^,1
가난하고 구멍 난 삶이지만 그 속에 웃음과 사랑이 있구나!,1
제가 본인ㄷ영화 중에 최고였습니다 ㅎㅎ,1
공포영화는 일본 작품이 제일 좋더라,1
돈을 많이 가진 사람들은 돈만 빼면 왠지 시체인 것 같다..,1
아일랜드인을 보면서 우리나라를 떠올리게 만든 영화,1
"보고 싶었던 영환데 티브이에서 뙁! 한편의 어른 동화를 본듯한 느낌이었어요 순수함에 힐링 됐다고나 할까 암튼, cg가 좀 부실한 거 같았지만 나라 씨 울 때같이 울었다는ㅠ항상 느끼는 거지만 나라 씨는 다른 사람도 같이 울게 하는 재주가 있으신듯ㅎㅎ연기굿!영화잘봤어요^^",1
"이연걸 형님, 참 할리우드에서도 납니다그려~",1
순간순간의 은유들이 너무나 짜릿하다. 부에노스 아이에스에서 사랑에 빠질 확률이라는 제목이 설명할 수 있는 건 브리더와 키스할 때뿐이다.,1
까브리머싯씀ㅎㅎ,1
백 점에서 저도 고픈 영화.. 허준보다 못하지만 짱,1
"오래 기다렸던 장률 감독의 첫 다큐멘터리 풍경. 역시나 명불허전. 눈 오는 겨울에 딱 어울리는 영화네요. 영화가 끝난 후에도 요즈음 내 꿈은, 나는 어땠는지 계속 돌이켜보게 됩니다.",1
처음으로 평가해보는 것 같네요 웬만하면 안 보는 걸 추천드림... 보다가 가슴 터지는 줄 알았음 눈물이 쏘다 지는데 아주 ᅳᅳ여자친구에게 차일 때 아픔 정도로 슬픔 ㅡㅡ,1
불쌍해서 10점 준다.. 이 영화를 받으려고 하는 그대들에게 전한다.. 이 영화는 1시간 30분 정도의 영화이다. 하나 이 영화를 받고 재생을 누른 후 10분 30초가 지나면 당신을 영화를 다 본 후 가 될 것이다. 자기 자신도 모르게 우측 카를 연사하게 될 것이다.ㅋ,1
"한 줄로 평하기가 힘든 영화. 다만, 진정한 사실적인 전투 묘사가 너무 좋았음.",1
뭔가 슬프기도 하고 훈훈한 영화! 아코짱 만화가 워낙에 유명,1
이거 존나 옛날에 자막 없이 봤는데 추억의 영화였지 .. 10점,1
한마디로 굿임,1
별 10개다 나는! 이거 마치 배틀 로열과 쏘우를 합친 느낌? 신의 장난일 수도 있겠지만 재미없다고 보는 놈들은 일제시대 때 일본한테 악감정 과거사에 절어있는 놈들 때문에 평점이 이따 구레 ㅋㅋㅋㅋ영화도모르는색기들이 단지 일본이라고 까는 거 보소 자기들 조상이 만약 쪽바리면깜놀,1
김보성의 으리!!,1
기대에 크게 벗어나지 않는 반 산트-데이먼 콤비의 멋진 휴먼 드라마.,1
감명 깊게 본 영화,1
왜 다이하드가 다이하드인 줄 알 것이야,1
"가슴 한구석이 아련해지는 그때 그 시절, 추억의 영화",1
옛날 생각 나는 영화;;,1
재밌었던 액션 영화,1
스타 트랙 역시 너무 잼 있네요~,1
기대 안 하고 봤는데 재밌었어요ㅎㅎ,1
점수가 너무 낮다 이건 올려야겠다,1
아들아 무엇을 하는 게냐.. 썪씨딩유 빠떨,1
진짜 이 드라마 시청률 20퍼 안 넘은 게 신기.. 정말 재밌어ᅲᅲ,1
진짜 재밌었어요ㅠ 뭔가 웅어 져서... 원작 소설을 읽어본 적이 없는데 한번 읽어보고 싶네요.... 니노미야 정말 이뻐요ㅠ,1
저는 개인적으로 재밌게 보았습니다 ^^,1
정말 재밌어요 ᄒ 토끼 정말 귀여워,1
"그전에 보았던 주세페 토르나토레, 앤니오모리꼬네 영화들과는 다른 스타일이지만 느낌만은 풍성함",1
가면 받음에 헤,1
